Id,Quantity,SalesAmount,InvoiceId,ProductId
1,4,119.8,1,22
2,1,29.95,1,22
3,2,59.9,2,22
4,8,399.6,3,17
5,2,29.9,3,18
6,4,59.8,3,18
7,1,2.95,4,16
8,8,159.6,5,6
9,3,22.5,6,11
10,4,59.8,6,1
11,4,59.8,7,3
12,8,159.6,7,6
13,8,103.6,8,13
14,6,17.7,9,16
15,7,20.65,10,16
16,6,89.7,11,18
17,2,5.9,11,16
18,3,44.85,12,1
19,1,19.95,12,6
20,7,69.65,13,4
21,1,9.95,14,4
22,1,29.95,14,22
23,4,99.8,15,21
24,1,9.95,16,4
25,4,11.8,17,16
26,4,79.8,17,6
27,4,59.8,17,1
28,2,4.98,18,15
29,7,139.65,19,6
30,3,8.85,19,16
31,3,44.85,19,3
32,4,79.8,20,6
33,2,29.9,21,3
34,5,124.75,21,26
35,5,249.75,21,17
36,5,14.75,22,16
37,4,59.8,22,3
38,1,27.95,23,27
39,8,23.6,24,16
40,6,89.7,25,18
41,8,79.6,25,12
42,7,90.65,26,2
43,5,124.75,27,26
44,2,99.9,27,17
45,1,19.95,28,6
46,5,99.75,28,6
47,5,74.75,29,18
48,9,134.55,29,18
49,8,159.6,29,6
50,9,134.55,30,1
51,7,20.65,30,16
52,1,14.95,31,18
53,2,19.9,31,12
54,5,249.75,32,17
55,5,14.75,32,16
56,6,59.7,32,12
57,2,19.9,33,4
58,9,116.55,33,13
59,4,11.8,34,16
60,5,14.75,34,16
61,9,179.55,35,6
62,1,2.95,36,16
63,8,159.6,36,6
64,7,20.65,36,16
65,7,349.65,37,17
66,3,74.85,37,26
67,6,299.7,37,17
68,5,12.45,38,15
69,3,149.85,38,17
70,4,11.8,39,16
71,6,299.7,39,17
72,9,449.55,39,17
73,1,12.95,40,2
74,6,167.7,41,27
75,6,59.7,41,4
76,7,20.65,41,16
77,8,239.6,42,22
78,2,5.9,42,16
79,4,199.8,43,17
80,5,74.75,44,1
81,5,99.75,44,6
82,7,104.65,45,1
83,3,38.85,46,2
84,2,39.9,47,6
85,3,59.85,48,6
86,8,19.92,48,15
87,5,74.75,48,18
88,6,89.7,49,3
89,9,116.55,50,13
90,1,12.95,51,13
91,1,9.95,52,4
92,4,199.8,52,17
93,6,119.7,53,6
94,4,199.8,54,17
95,5,64.75,55,19
96,7,195.65,55,27
97,2,25.9,55,13
98,2,99.9,56,17
