#,Age,City,College,Conference,Division,Exp.,Ht.,Name,Pos.,Team,Team Logo,Team Roster,Wt.
"",,"Atlanta, GA",Minnesota,NFC,NFC-South,"",,"Lynn, Jack",LB,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,0
"",,"East Rutherford, NJ",Akron,NFC,NFC-East,R,6-3,"Lane, Jerome",WR,Giants,https://cpt.azureedge.net/NFLTeamImages/giants.png,http://www.giants.com/team/roster.html,220
"",,"East Rutherford, NJ",Iowa State,NFC,NFC-East,R,5-10,"Tribune, Nigel",CB,Giants,https://cpt.azureedge.net/NFLTeamImages/giants.png,http://www.giants.com/team/roster.html,179
1,,"Atlanta, GA",Georgia,NFC,NFC-South,R,6-0,"Davis, Reggie",WR,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,170
11,,"Denver, CO",Louisiana Tech,AFC,AFC-West,R,5-11,"Henderson, Carlos",WR,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,199
16,,"Buffalo, NY",West Virginia,AFC,AFC-East,R,6-1,"Shorts, Daikiel",WR,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,202
17,,"Atlanta, GA",Washington,NFC,NFC-South,"",5-10,"Hall, Marvin",WR,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,183
26,,"Buffalo, NY",Iowa,AFC,AFC-East,"",6-2,"Mabin, Greg",CB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,200
27,,"Denver, CO",Lamar,AFC,AFC-West,R,6-0,"Langley, Brendan",CB,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,201
3,,"Buffalo, NY",Idaho,AFC,AFC-East,R,6-3,"Rehkow, Austin",P,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,214
31,,"Kansas City, MO",Pittsburg State,AFC,AFC-West,2,6-2,"Bausby, DeVante",DB,Chiefs,https://cpt.azureedge.net/NFLTeamImages/chiefs.png,http://www.chiefs.com/team/roster.html,190
