InvoiceId,InvoiceDate,InvoiceAmount,InvoiceType,CustomerId
1,1/28/2012,149.75,InPerson,1
2,1/28/2012,59.9,InPerson,2
3,1/28/2012,489.3,InPerson,3
4,1/28/2012,2.95,InPerson,4
5,1/28/2012,159.6,InPerson,5
6,1/28/2012,82.3,InPerson,6
7,1/29/2012,219.4,InPerson,7
8,1/29/2012,103.6,InPerson,8
9,1/29/2012,17.7,InPerson,9
10,1/29/2012,20.65,InPerson,10
11,1/29/2012,95.6,InPerson,11
12,1/29/2012,64.8,InPerson,12
13,1/29/2012,69.65,InPerson,13
14,1/29/2012,39.9,InPerson,14
15,1/29/2012,99.8,InPerson,15
16,1/29/2012,9.95,InPerson,16
17,1/29/2012,151.4,InPerson,17
18,1/29/2012,4.98,InPerson,18
19,1/30/2012,193.35,InPerson,19
20,1/30/2012,79.8,InPerson,20
21,1/30/2012,404.4,InPerson,21
22,1/30/2012,74.55,InPerson,22
23,1/30/2012,27.95,InPerson,23
24,1/30/2012,23.6,InPerson,24
25,1/30/2012,169.3,InPerson,25
26,1/30/2012,90.65,InPerson,26
27,1/30/2012,224.65,InPerson,27
28,1/31/2012,119.7,InPerson,28
29,1/31/2012,368.9,InPerson,29
30,1/31/2012,155.2,InPerson,30
31,1/31/2012,34.85,InPerson,31
32,1/31/2012,324.2,InPerson,32
33,1/31/2012,136.45,InPerson,33
34,1/31/2012,26.55,InPerson,34
35,1/31/2012,179.55,InPerson,35
36,1/31/2012,183.2,InPerson,36
37,1/31/2012,724.2,InPerson,37
38,1/31/2012,162.3,MailOrder,8
39,1/31/2012,761.05,MailOrder,7
40,2/1/2012,12.95,InPerson,38
41,2/1/2012,248.05,InPerson,39
42,2/1/2012,245.5,InPerson,40
43,2/1/2012,199.8,InPerson,41
44,2/1/2012,174.5,InPerson,42
45,2/1/2012,104.65,InPerson,43
46,2/1/2012,38.85,InPerson,44
47,2/1/2012,39.9,InPerson,45
48,2/1/2012,154.52,InPerson,36
49,2/1/2012,89.7,InPerson,38
50,2/1/2012,116.55,InPerson,37
51,2/2/2012,12.95,InPerson,46
52,2/2/2012,209.75,InPerson,47
53,2/2/2012,119.7,InPerson,48
54,2/2/2012,199.8,InPerson,24
55,2/3/2012,286.3,InPerson,49
56,2/3/2012,117.6,InPerson,50
57,2/3/2012,174.65,InPerson,13
58,2/3/2012,464.5,InPerson,7
59,2/3/2012,314.15,MailOrder,38
60,2/4/2012,149.5,InPerson,51
61,2/4/2012,225.35,InPerson,52
62,2/4/2012,199.6,InPerson,53
63,2/4/2012,20.65,InPerson,54
64,2/4/2012,179.6,InPerson,55
65,2/4/2012,236.55,InPerson,56
66,2/4/2012,51.8,InPerson,57
67,2/4/2012,39.81,InPerson,24
68,2/4/2012,72.75,InPerson,17
69,2/4/2012,236.35,InPerson,24
70,2/6/2012,273.35,InPerson,58
71,2/6/2012,140.45,InPerson,59
72,2/6/2012,230.2,InPerson,60
73,2/6/2012,29.9,InPerson,61
74,2/6/2012,178.45,InPerson,62
75,2/6/2012,11.8,InPerson,24
76,2/7/2012,249.75,InPerson,63
77,2/7/2012,569.25,InPerson,64
78,2/7/2012,304.3,InPerson,65
79,2/7/2012,17.7,InPerson,66
80,2/7/2012,44.85,InPerson,67
81,2/7/2012,116.55,InPerson,68
82,2/7/2012,55.85,InPerson,69
83,2/7/2012,23.6,InPerson,70
84,2/7/2012,324.35,InPerson,36
85,2/8/2012,104.65,InPerson,71
86,2/8/2012,152.9,InPerson,72
87,2/8/2012,389.2,InPerson,73
88,2/8/2012,419.4,InPerson,74
89,2/8/2012,68.8,InPerson,75
90,2/8/2012,249.4,InPerson,76
91,2/8/2012,24.95,InPerson,77
92,2/8/2012,334.25,InPerson,38
93,2/8/2012,195.65,InPerson,24
94,2/9/2012,24.95,InPerson,78
95,2/9/2012,257.3,InPerson,79
96,2/9/2012,20.65,InPerson,80
97,2/9/2012,26.55,InPerson,44
98,2/10/2012,44.85,InPerson,81
99,2/10/2012,257.45,InPerson,82
100,2/10/2012,2.95,InPerson,83
101,2/10/2012,59.8,InPerson,37
102,2/10/2012,99.7,InPerson,69
103,2/10/2012,46.55,InPerson,13
104,2/10/2012,240.25,InPerson,41
105,2/11/2012,14.95,InPerson,84
106,2/11/2012,176.45,InPerson,85
107,2/11/2012,70.55,InPerson,86
108,2/11/2012,469.35,InPerson,87
109,2/11/2012,119.7,InPerson,88
110,2/11/2012,187.25,InPerson,89
111,2/11/2012,299.7,InPerson,90
112,2/11/2012,320.15,InPerson,91
113,2/11/2012,469.45,InPerson,92
114,2/11/2012,653.9,InPerson,90
115,2/11/2012,159.35,MailOrder,80
116,2/11/2012,67.35,InPerson,80
117,2/11/2012,185.6,InPerson,38
118,2/12/2012,23.6,InPerson,93
119,2/12/2012,129.5,InPerson,94
120,2/12/2012,161.5,InPerson,95
121,2/12/2012,284.2,InPerson,96
122,2/12/2012,70.6,InPerson,97
123,2/12/2012,90.65,InPerson,98
124,2/12/2012,199.6,InPerson,99
125,2/12/2012,157.08,InPerson,100
126,2/12/2012,349.85,InPerson,101
127,2/12/2012,174.8,InPerson,102
128,2/12/2012,222.1,InPerson,103
129,2/12/2012,134.55,InPerson,85
130,2/12/2012,218.4,InPerson,59
131,2/12/2012,29.9,MailOrder,66
132,2/13/2012,269.25,InPerson,104
133,2/13/2012,99.75,InPerson,105
134,2/13/2012,24.95,InPerson,106
135,2/13/2012,137.5,InPerson,107
136,2/13/2012,223.35,InPerson,108
137,2/13/2012,111.8,InPerson,91
138,2/13/2012,417.03,MailOrder,102
139,2/13/2012,194.55,InPerson,13
140,2/14/2012,349.65,InPerson,109
141,2/14/2012,42.29,InPerson,110
142,2/14/2012,104.79,InPerson,111
143,2/14/2012,29.95,InPerson,112
144,2/14/2012,269.55,InPerson,113
145,2/14/2012,174.65,InPerson,114
146,2/14/2012,74.85,InPerson,91
147,2/14/2012,8.85,InPerson,68
148,2/14/2012,278.45,MailOrder,66
149,2/14/2012,119.7,InPerson,102
150,2/15/2012,96.97,InPerson,115
151,2/15/2012,113.5,InPerson,116
152,2/15/2012,77.7,InPerson,117
153,2/15/2012,567.95,InPerson,118
154,2/15/2012,191.3,InPerson,119
155,2/15/2012,321.1,InPerson,91
156,2/15/2012,359.4,InPerson,13
157,2/15/2012,11.8,InPerson,8
158,2/16/2012,373.45,InPerson,120
159,2/16/2012,159.6,InPerson,121
160,2/16/2012,98.55,InPerson,122
161,2/16/2012,347.25,InPerson,123
162,2/16/2012,26.55,InPerson,124
163,2/16/2012,219.5,InPerson,125
164,2/16/2012,17.7,InPerson,126
165,2/16/2012,299.7,InPerson,127
166,2/16/2012,339.7,InPerson,37
167,2/16/2012,105.65,InPerson,7
168,2/16/2012,148.4,InPerson,41
169,2/17/2012,449.55,InPerson,128
170,2/17/2012,219.55,InPerson,129
171,2/17/2012,32.8,InPerson,130
172,2/17/2012,250.4,InPerson,131
173,2/17/2012,554.85,InPerson,132
174,2/17/2012,104.65,InPerson,117
175,2/18/2012,119.6,InPerson,133
176,2/18/2012,199.8,InPerson,134
177,2/18/2012,119.6,InPerson,135
178,2/18/2012,259.25,InPerson,136
179,2/18/2012,299.1,InPerson,137
180,2/18/2012,439.25,InPerson,138
181,2/18/2012,104.73,InPerson,139
182,2/18/2012,209.45,InPerson,140
183,2/18/2012,11.8,InPerson,141
184,2/18/2012,80.4,InPerson,142
185,2/18/2012,124.65,InPerson,143
186,2/18/2012,145.5,InPerson,8
187,2/18/2012,479.42,InPerson,36
188,2/18/2012,204.5,InPerson,24
189,2/19/2012,204.35,InPerson,144
190,2/19/2012,258.25,InPerson,145
191,2/19/2012,425.5,InPerson,146
192,2/19/2012,51.8,InPerson,147
193,2/19/2012,194.57,InPerson,148
194,2/19/2012,8.85,InPerson,149
195,2/19/2012,259.7,InPerson,150
196,2/19/2012,119.8,InPerson,151
197,2/19/2012,181.25,InPerson,152
198,2/19/2012,309.3,InPerson,153
199,2/19/2012,220.15,InPerson,154
200,2/19/2012,319.1,InPerson,155
201,2/19/2012,263.2,InPerson,66
202,2/19/2012,559.05,InPerson,10
203,2/19/2012,23.6,InPerson,17
204,2/20/2012,154.45,InPerson,156
205,2/20/2012,394.45,InPerson,157
